DEFLECTION,PSF,compactness,number of room, average room area,occlusivity,visible area,mean radial
9.245376,26.163019,0.017861,2,410.12,4965.744192,332882.500419,309.499591
10.359947,27.943499,0.018295,2,418.92,4836.606517,334077.348262,310.161974
10.146917,25.668889,0.018381,4,192.43,4800.963914,334359.084525,310.298852
9.997967,26.579761,0.044341,1,776.04,4287.850144,334125.177755,272.245408
10.730278,26.450803,0.308271,3,271.706667,4181.31771,334329.01898,261.795348
10.308182,26.368582,0.052952,4,194.79,4144.274524,333953.241404,259.729009
10.983663,26.197016,0.018075,3,266.893333,4893.817253,333023.85799,309.401876
9.626812,25.387109,0.018327,3,256.106667,4841.397088,334312.336914,310.372241
10.143821,27.598681,0.018555,3,251.493333,4758.443005,334302.908113,310.130989
9.259032,25.716047,0.049932,1,864.24,4189.055415,334209.783601,264.99172
8.205048,27.395961,0.018046,4,191.49,4907.19109,333658.740698,309.990711
8.030917,27.266302,0.017965,1,846.0,4924.534972,334076.08928,310.40616
9.561578,27.975688,0.018294,1,905.0,4820.365406,333870.009012,309.946011
10.468201,26.209476,0.018417,1,811.4,4784.701285,335153.992833,310.941976
9.027903,25.564911,0.018328,3,268.706667,4810.754633,333239.267874,309.403534
10.179438,25.408225,0.018189,4,209.57,4856.983265,333731.519257,309.91841
10.415806,26.332807,0.018252,3,284.346667,4841.193443,333784.956257,309.894974
10.033185,27.804163,0.01809,3,283.16,4908.615715,334272.782686,310.513931
9.280159,25.960211,0.017806,2,417.12,5012.593818,333261.92225,309.935471
9.88594,25.812134,0.018332,3,265.813333,4814.251789,333969.67907,310.002129
9.152117,25.039008,0.018263,2,381.44,4844.066392,334238.611836,310.292963
9.438714,25.267784,0.018377,2,395.44,4804.546081,334478.597306,310.414882
9.672286,25.426475,0.017672,2,401.52,5016.69752,332623.880643,309.390645
10.015056,26.542492,0.017872,6,119.406667,4959.700016,332844.557212,309.428862
10.042121,27.567517,0.018321,2,366.24,4837.510758,334342.787261,310.361769
8.880022,25.807862,0.018272,4,195.78,4817.708411,333011.838123,309.175986
9.006489,25.855844,0.026506,3,258.04,4664.576008,333918.939804,296.987853
9.593254,25.769208,0.017716,5,153.152,4997.623689,332412.071271,309.154747
9.328691,24.589245,0.018094,3,249.293333,4886.445741,333504.310578,309.79877
10.276248,24.025464,0.017991,2,574.22,4926.198839,326152.904232,303.434117
9.201877,28.304655,0.018462,3,282.506667,4780.239749,335790.128096,311.499736
9.94936,27.512104,0.299381,3,266.306667,4133.537355,334071.012022,261.536875
9.430588,25.878162,0.017926,2,458.2,4946.262414,331165.83995,307.903743
9.350088,26.171203,0.017677,5,148.032,5012.619828,332729.765372,309.46468
9.03242,26.661334,0.018293,2,420.92,4821.612753,333709.527724,309.819582
9.418131,27.629651,0.01814,3,281.706667,4885.972142,334633.785947,310.786574
9.871371,26.896969,0.01862,3,270.773333,4725.139683,334777.077721,310.488372
8.758867,25.558471,0.052813,2,392.6,4088.996953,333195.528984,259.999586
8.900468,26.915484,0.018984,2,409.22,4626.935961,335901.039187,311.191122
10.163409,27.602078,0.017979,3,310.346667,4942.417697,330656.395278,307.454301
9.011409,26.798371,0.017662,5,159.08,5018.485123,333201.087028,309.901741
9.092694,29.090743,0.018621,1,929.8,4742.771187,335351.056855,311.03261
9.801178,27.455248,0.018269,1,866.44,4835.315084,333788.150837,309.912212
10.078434,26.353415,0.018561,3,275.64,4757.85319,333937.622053,309.85295
10.790928,26.621367,0.018186,5,148,4886.188311,333615.973402,309.903213
9.734759,28.170754,0.018669,2,445.42,4731.964478,335800.935501,311.386806
9.269695,26.758811,0.018439,3,263.906667,4802.023688,335233.864175,311.074296
9.915019,26.544525,0.018349,4,194.44,4816.746417,334193.926293,310.233757
10.06706,27.713615,0.01839,2,400.24,4805.414821,334819.462227,310.734214
7.010287,27.465182,0.017648,3,270.44,5041.627648,333221.40047,309.990223
9.819398,26.218865,0.018812,2,436.9,4673.198658,335450.106944,310.893822
10.263248,24.63231,0.051291,5,161.152,4182.019322,333548.882415,261.192726
9.134849,27.015402,0.018874,3,283.506667,4668.893384,337390.118934,312.571307
9.929103,26.191269,0.01831,3,253.226667,4815.662593,333356.397027,309.478177
10.123589,25.919122,0.018405,1,1202.76,4840.086932,328917.208619,305.576488
9.972445,26.524637,0.01817,2,415.82,4889.143982,334297.024067,310.498472
8.80029,26.102273,0.018214,7,100.182857,4845.827226,333584.384437,309.724101
10.436452,26.092129,0.018545,1,860.64,4757.792336,334426.740164,310.27332
10.361563,25.759189,0.050977,4,204.08,4116.986088,334111.355699,262.115287
9.918695,25.095356,0.01824,1,787.44,4872.095444,333817.269258,310.025921
9.671194,25.665395,0.017958,4,195.49,4946.634956,332864.935459,309.411912
9.512595,28.1293,0.018657,2,418.42,4721.518394,335697.593301,311.222629
8.983915,25.495025,0.018539,4,190.29,4763.078536,334055.056956,309.954889
10.306147,28.421152,0.018683,3,273.973333,4729.559057,334638.069001,310.361988
10.626987,27.785479,0.018369,1,896.84,4822.884082,334734.030205,310.702465
7.261285,26.871868,0.018781,2,415.74,4699.694744,335731.987477,311.215918
10.179748,25.836052,0.017969,4,190.79,4917.199549,332450.378035,308.958012
9.612809,25.931586,0.018636,2,399.84,4740.12904,334839.77155,310.561515
9.799526,25.471106,0.018069,2,397.82,4902.731274,334186.038003,310.427279
8.612888,27.646017,0.018188,4,200.19,4859.471294,334056.39082,310.208897
8.460237,25.950124,0.018454,2,407.34,4769.393399,334254.85763,310.165729
7.832685,25.75927,0.018383,5,152.672,4802.97426,334133.798042,310.098815
